Topic,Duration
Why we smile even when we're sad,2
How colors affect your mood (Color Psychology),1.5
Why people procrastinate: A breakdown in 60 seconds,1.5
The most isolated places on Earth,2
Countries that don't exist anymore,2
Why Japan has vending machines everywhere,1.5
Places that look like another planet,1.5
Unusual traditions from around the world,2
The oldest known photos ever taken,2
Ancient wonders that no longer exist,1.5
The Doomsday Clock explained,1.5
What Earth looked like 100 million years ago,2
This city is slowly sinking: Here's why,2
What if Earth had rings like Saturn?,1.5
Animals that can survive extreme cold,1.5
What causes the Northern Lights?,2
The magic of bioluminescence,2
How coral reefs glow underwater,1.5
How AI is changing your daily life,1.5
What happens every minute on the internet?,2
Why your phone feels like it's always listening,2
Old tech vs new tech: Then and now,1.5
How drones are reshaping industries,1.5
3 habits that change your brain (backed by science),2
Morning routines that successful people swear by,2
How to trick your brain into being more focused,1.5
The 80/20 rule: Do more by doing less,1.5
Tiny habits = Big change. Here is why,2
60 seconds of calm for your mind,2
Watch this when you feel anxious,1.5
A walk through peaceful places on Earth,1.5
Rain sounds and coffee shops: The perfect combo,2
Breathe in. Breathe out. You got this.,2
How colors influence branding,1.5
Hidden symbols in famous logos,1.5
How architecture tells a story,2
The art of minimalism: More with less,2
